#num	clst	ipv	ip	tcp	qopt	ttl	olen	mss	wsize_ws	num_tcpopt	tcpopt	pldl	Nclass	Nprog	Nver	class	prog	ver	vOS	comment
17	0x0a	0x00	0x40	0x02	0x0040	64	0	0	22,0	5	0x02,0x04,0x08,0x01,0x03	0	2	2	10	unix	Linux	2.2.x		 No real traffic seen for 2.2 & 2.0, signatures extrapolated from p0f2 data:
18	0x0a	0x00	0x00	0x02	0x0000	64	0	0	12,0	1	0x02	0	2	2	9	unix	Linux	2.0		 No real traffic seen for 2.2 & 2.0, signatures extrapolated from p0f2 data:
19	0x08	0x00	0x00	0x02	0x0000	64	0	0	16384,0	1	0x02	0	2	2	9	unix	Linux	2.0		 No real traffic seen for 2.2 & 2.0, signatures extrapolated from p0f2 data:
20	0x02	0x00	0x40	0x02	0x0040	64	0	16396	32792,4	5	0x02,0x04,0x08,0x01,0x03	0	2	2	26	unix	Linux	3.x (loopback)		 Just to keep people testing locally happy (IPv4 & IPv6):
21	0x02	0x00	0x40	0x02	0x0040	64	0	16376	32752,4	5	0x02,0x04,0x08,0x01,0x03	0	2	2	26	unix	Linux	3.x (loopback)		 Just to keep people testing locally happy (IPv4 & IPv6):
22	0x02	0x00	0x40	0x02	0x0040	64	0	16396	32792,2	5	0x02,0x04,0x08,0x01,0x03	0	2	2	21	unix	Linux	2.6.x (loopback)		 Just to keep people testing locally happy (IPv4 & IPv6):
23	0x02	0x00	0x40	0x02	0x0040	64	0	16376	32752,2	5	0x02,0x04,0x08,0x01,0x03	0	2	2	21	unix	Linux	2.6.x (loopback)		 Just to keep people testing locally happy (IPv4 & IPv6):
24	0x02	0x00	0x40	0x02	0x0040	64	0	16396	32792,0	5	0x02,0x04,0x08,0x01,0x03	0	2	2	18	unix	Linux	2.4.x (loopback)		 Just to keep people testing locally happy (IPv4 & IPv6):
25	0x02	0x00	0x40	0x02	0x0040	64	0	3884	31072,0	5	0x02,0x04,0x08,0x01,0x03	0	2	2	14	unix	Linux	2.2.x (loopback)		 Just to keep people testing locally happy (IPv4 & IPv6):
26	0x02	0x04	0x00	0x02	0x0000	64	0	1430	5720,6	5	0x02,0x04,0x08,0x01,0x03	0	2	2	20	unix	Linux	2.6.x (Google crawler)		 Various distinctive flavors of Linux:
27	0x0a	0x00	0x40	0x02	0x0040	64	0	0	44,1	5	0x02,0x04,0x08,0x01,0x03	0	2	2	39	unix	Linux	(Android)		 Various distinctive flavors of Linux:
28	0x0a	0x00	0x40	0x02	0x0040	64	0	0	44,3	5	0x02,0x04,0x08,0x01,0x03	0	2	2	39	unix	Linux	(Android)		 Various distinctive flavors of Linux:
29	0x1a	0x00	0x40	0x02	0x0040	64	0	0	10,0	5	0x02,0x04,0x08,0x01,0x03	0	2	2	25	unix	Linux	3.x		 Various distinctive flavors of Linux:
30	0x1a	0x00	0x40	0x02	0x0040	64	0	0	4,0	5	0x02,0x04,0x08,0x01,0x03	0	2	2	17	unix	Linux	2.4.x-2.6.x		 Various distinctive flavors of Linux:
31	0x18	0x00	0x40	0x02	0x0040	64	0	0	0,0	5	0x02,0x04,0x08,0x01,0x03	0	2	2	11	unix	Linux	2.2.x-3.x		 Various distinctive flavors of Linux:
