# Date: 1753804458.000641375 sec (Tue 29 Jul 2025 15:54:18 UTC)
# Tranalyzer 0.9.3 (Anteater), Cobra
# Core configuration: L2, IPv4, IPv6
# SensorID: 666
# PID: 12620
# Priority: 0
# Command line: /home/lavanya/tranalyzer2-0.9.3/tranalyzer2/build/tranalyzer -r ./sf_Wireshark-1/uploaded_file.pcap -w ./sf_Wireshark-1
# HW info: DESKTOP-FJ3QCTM;Linux;6.6.87.2-microsoft-standard-WSL2;#1 SMP PREEMPT_DYNAMIC Thu Jun  5 18:30:46 UTC 2025;x86_64
# SW info: libpcap version 1.10.4 (with TPACKET_V3)
#
# Plugins loaded:
#   01: protoStats, version 0.9.3
#   02: basicFlow, version 0.9.3
#   03: macRecorder, version 0.9.3
#   04: portClassifier, version 0.9.3
#   05: nDPI, version 0.9.3
#   06: geoip, version 0.9.3
#   07: basicStats, version 0.9.3
#   08: tcpFlags, version 0.9.3
#   09: tcpStates, version 0.9.3
#   10: icmpDecode, version 0.9.3
#   11: dnsDecode, version 0.9.3
#   12: sslDecode, version 0.9.3
#   13: connStat, version 0.9.3
#   14: pktSIATHisto, version 0.9.3
#   15: descriptiveStats, version 0.9.3
#   16: txtSink, version 0.9.3
#   17: mysqlSink, version 0.9.3
#
# Col No.	Type	Name	Description
108	U64.U32	tcpBtm	TCP estimated boot time
109	F	tcpSSASAATrip	TCP trip time (A: SYN, SYN-ACK, B: SYN-ACK, ACK)
110	F	tcpRTTAckTripMin	TCP ACK trip min
111	F	tcpRTTAckTripMax	TCP ACK trip max
112	F	tcpRTTAckTripAvg	TCP ACK trip average
113	F	tcpRTTAckTripJitAvg	TCP ACK trip jitter average
114	F	tcpRTTSseqAA	TCP round trip time (A: SYN, SYN-ACK, ACK, B: ACK-ACK)
115	F	tcpRTTAckJitAvg	TCP ACK round trip average jitter
116	H8	tcpStatesAFlags	TCP state machine anomalies
117	H8	icmpStat	ICMP status
118	U8	icmpTCcnt	ICMP type code count
119	H32_H32_H16	icmpBFTypH_TypL_Code	ICMP Aggregated type H (IPv6>128, IPv4>31), L (<32) & code bit field
120	H32	icmpTmGtw	ICMP time/gateway
121	F	icmpEchoSuccRatio	ICMP Echo reply/request success ratio
122	U64	icmpPFindex	ICMP parent flowIndex
123	H16	dnsStat	DNS status, warnings and errors
124	H16	dnsHdrOPField	DNS last header field
125	H8_H16_H16	dnsHFlg_OpC_RetC	DNS aggregated header flags, operational and return code
126	U16_U16_U16_U16	dnsCntQu_Asw_Aux_Add	DNS number of question, answer, auxiliary and additional records
127	F	dnsAAAqF	DNS DDOS AAA / query factor
128	S:R	dnsQname	DNS query name
129	S:R	dnsAname	DNS answer name record
130	S:R	dnsAPname	DNS name CNAME entries
131	IP4:R	dns4Aaddress	DNS address entries IPv4
132	IP6:R	dns6Aaddress	DNS address entries IPv6
133	U16:R	dnsQType	DNS query record type entries
134	U16:R	dnsQClass	DNS query record class entries
135	U16:R	dnsAType	DNS answer record type entries
136	U16:R	dnsAClass	DNS answer record class entries
137	U32:R	dnsATTL	DNS answer record TTL entries
138	U16:R	dnsMXpref	DNS MX record preference entries
139	U16:R	dnsSRVprio	DNS SRV record priority entries
140	U16:R	dnsSRVwgt	DNS SRV record weight entries
141	U16:R	dnsSRVprt	DNS SRV record port entries
142	H32:R	dnsOptStat	DNS option status
143	H32	sslStat	SSL status
144	H32	sslProto	SSL proto
145	H8	sslFlags	SSL flags
146	H16	sslVersion	SSL version
147	U16	sslNumRecVer	SSL number of record versions
148	H16:R	sslRecVer	SSL record version
149	U16	sslNumHandVer	SSL number of handshake versions
150	H16:R	sslHandVer	SSL handshake version
151	H8	sslVuln	SSL vulnerabilities
152	H64	sslAlert	SSL alert
153	H16	sslCipher	SSL preferred (Client) / negotiated (Server) cipher
154	U16	sslNumExt	SSL number of extensions
155	H16:R	sslExtList	SSL list of extensions
156	U16	sslNumSuppVer	SSL number of supported versions
157	H16:R	sslSuppVer	SSL list of supported versions (client), negotiated version (server)
158	U16	sslNumSigAlg	SSL number of signature algorithms
159	H16:R	sslSigAlg	SSL list of signature algorithms
160	U16	sslNumECPt	SSL number of EC points
161	H16:R	sslECPt	SSL list of EC points
162	U8	sslNumECFormats	SSL number of EC point formats
163	H8:R	sslECFormats	SSL list of EC point formats
164	U16	sslNumALPN	SSL number of protocols (ALPN)
165	S:R	sslALPNList	SSL list of protocols (ALPN)
166	U16	sslNumALPS	SSL number of protocols (ALPS)
167	S:R	sslALPSList	SSL list of protocols (ALPS)
168	U16	sslNumNPN	SSL number of protocols (NPN)
169	S:R	sslNPNList	SSL list of protocols (NPN)
170	U16	sslNumCipher	SSL number of supported ciphers
171	H16:R	sslCipherList	SSL list of supported cipher
172	U16_U16_U16_U64_U64	sslNumCC_A_H_AD_HB	SSL number of change_cipher, alert, handshake, application data, heartbeat records
173	U8	sslSessIdLen	SSL Session ID length
174	U64.U32:R	sslGMTTime	SSL GMT Unix Time
175	S:R	sslServerName	SSL server name
176	U8:R	sslCertVersion	SSL certificate version
177	SC:R	sslCertSerial	SSL certificate serial number
178	SC:R	sslCertSha1FP	SSL certificate SHA1 fingerprint
179	U64.U32_U64.U32_U64:R	sslCNotValidBefore_after_lifetime	SSL certificate validity period (not valid before/after, lifetime (seconds))
180	S:R	sslCSigAlg	SSL certificate signature algorithm
181	S:R	sslCKeyAlg	SSL certificate public key algorithm
182	SC_U16:R	sslCPKeyType_Size	SSL certificate public key type, size (bits)
183	S:R	sslCSubjectCommonName	SSL certificate subject common name
184	S:R	sslCSubjectOrgName	SSL certificate subject organization name
185	S:R	sslCSubjectOrgUnit	SSL certificate subject organizational unit name
186	S:R	sslCSubjectLocality	SSL certificate subject locality name
187	S:R	sslCSubjectState	SSL certificate subject state or province name
188	SC:R	sslCSubjectCountry	SSL certificate subject country name
